qs_rank_2024,institution,country,qs_rank_2025,subject_area,ib_min,ib_recommended,a_levels,sat_recommended,act_recommended,additional_tests
44.0,Columbia University,United States,,Engineering & Technology,28,32,BBB,1200+,25+,
,Columbia University,United States of America,50.0,Engineering & Technology,36,40,A*A*A,1450+,32+,TMUA
256.0,Complutense University of Madrid,Spain,271.0,Engineering & Technology,28,32,BBB,1200+,25+,
337.0,Concordia University,Canada,401.0,Engineering & Technology,28,32,BBB,1200+,25+,
30.0,Cornell University,United States,,Engineering & Technology,28,32,BBB,1200+,25+,
,Cornell University,United States of America,30.0,Engineering & Technology,36,40,A*A*A,1450+,32+,TMUA
501.0,Coventry University,United Kingdom,451.0,Engineering & Technology,28,32,BBB,1200+,25+,
501.0,Cracow University of Technology (Politechnika Krakowska),Poland,451.0,Engineering & Technology,28,32,BBB,1200+,25+,
170.0,Cranfield University,United Kingdom,184.0,Engineering & Technology,32,36,AAA,1300+,27+,
220.0,Curtin University,Australia,229.0,Engineering & Technology,32,36,AAA,1300+,27+,
182.0,Czech Technical University in Prague,Czech Republic,,Engineering & Technology,28,32,BBB,1200+,25+,
,Czech Technical University in Prague,Czechia,189.0,Engineering & Technology,32,36,AAA,1300+,27+,
,Daegu Gyeongbuk Institute of Science and Technology (DGIST),Republic of Korea,353.0,Engineering & Technology,28,32,BBB,1200+,25+,
260.0,Daegu Gyeongbuk Institute of Science and Technology (DGIST),South Korea,,Engineering & Technology,28,32,BBB,1200+,25+,
401.0,Dalhousie University,Canada,451.0,Engineering & Technology,28,32,BBB,1200+,25+,
316.0,Dalian University of Technology,China (Mainland),304.0,Engineering & Technology,28,32,BBB,1200+,25+,
273.0,Deakin University,Australia,246.0,Engineering & Technology,32,36,AAA,1300+,27+,
13.0,Delft University of Technology,Netherlands,14.0,Engineering & Technology,36,40,A*A*A,1450+,32+,TMUA
501.0,Drexel University,United States,,Engineering & Technology,28,32,BBB,1200+,25+,
451.0,Dublin City University,Ireland,451.0,Engineering & Technology,28,32,BBB,1200+,25+,
134.0,Duke University,United States,,Engineering & Technology,28,32,BBB,1200+,25+,
,Duke University,United States of America,135.0,Engineering & Technology,32,36,AAA,1300+,27+,
290.0,Durham University,United Kingdom,341.0,Engineering & Technology,28,32,BBB,1200+,25+,
,Duy Tan University,Viet Nam,363.0,Engineering & Technology,28,32,BBB,1200+,25+,
341.0,Duy Tan University,Vietnam,,Engineering & Technology,28,32,BBB,1200+,25+,
10.0,EPFL,Switzerland,10.0,Engineering & Technology,38,42,A*A*A,1500+,34+,TMUA / STEP
6.0,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,5.0,Engineering & Technology,38,42,A*A*A,1500+,34+,TMUA / STEP
501.0,East China University of Science and Technology,China (Mainland),451.0,Engineering & Technology,28,32,BBB,1200+,25+,
451.0,Eberhard Karls Universität Tübingen,Germany,501.0,Engineering & Technology,28,32,BBB,1200+,25+,
264.0,Ecole Centrale de Lyon,France,304.0,Engineering & Technology,28,32,BBB,1200+,25+,
212.0,Ecole des Ponts ParisTech,France,260.0,Engineering & Technology,28,32,BBB,1200+,25+,
84.0,Eindhoven University of Technology,Netherlands,95.0,Engineering & Technology,34,38,A*AA,1400+,30+,
451.0,Escuela Superior Politécnica del Litoral (ESPOL),Ecuador,401.0,Engineering & Technology,28,32,BBB,1200+,25+,
401.0,Florida International University,United States,,Engineering & Technology,28,32,BBB,1200+,25+,
,Florida International University,United States of America,451.0,Engineering & Technology,28,32,BBB,1200+,25+,
401.0,Florida State University,United States,,Engineering & Technology,28,32,BBB,1200+,25+,
,Florida State University,United States of America,451.0,Engineering & Technology,28,32,BBB,1200+,25+,
288.0,Freie Universitaet Berlin,Germany,292.0,Engineering & Technology,28,32,BBB,1200+,25+,
235.0,Friedrich-Alexander-Universität Erlangen-Nürnberg,Germany,254.0,Engineering & Technology,28,32,BBB,1200+,25+,
111.0,Fudan University,China (Mainland),88.0,Engineering & Technology,34,38,A*AA,1400+,30+,
,GIK Institute of Engineering Sciences and Technology,Pakistan,501.0,Engineering & Technology,28,32,BBB,1200+,25+,
316.0,Gadjah Mada University,Indonesia,345.0,Engineering & Technology,28,32,BBB,1200+,25+,
451.0,Gazi Üniversitesi,Turkey,,Engineering & Technology,28,32,BBB,1200+,25+,
,Gazi Üniversitesi,Türkiye,401.0,Engineering & Technology,28,32,BBB,1200+,25+,
370.0,Gdańsk University of Technology,Poland,353.0,Engineering & Technology,28,32,BBB,1200+,25+,
451.0,George Washington University,United States,,Engineering & Technology,28,32,BBB,1200+,25+,
,George Washington University,United States of America,501.0,Engineering & Technology,28,32,BBB,1200+,25+,
12.0,Georgia Institute of Technology,United States,,Engineering & Technology,28,32,BBB,1200+,25+,
,Georgia Institute of Technology,United States of America,15.0,Engineering & Technology,36,40,A*A*A,1450+,32+,TMUA
175.0,Ghent University,Belgium,143.0,Engineering & Technology,32,36,AAA,1300+,27+,
401.0,Goethe-University Frankfurt am Main,Germany,401.0,Engineering & Technology,28,32,BBB,1200+,25+,
298.0,Graz University of Technology,Austria,302.0,Engineering & Technology,28,32,BBB,1200+,25+,
122.0,"Grenoble INP, Grenoble Institute of Technology",France,162.0,Engineering & Technology,32,36,AAA,1300+,27+,
451.0,Griffith University,Australia,451.0,Engineering & Technology,28,32,BBB,1200+,25+,
,Gwangju Institute of Science and Technology (GIST),Republic of Korea,380.0,Engineering & Technology,28,32,BBB,1200+,25+,
275.0,Gwangju Institute of Science and Technology (GIST),South Korea,,Engineering & Technology,28,32,BBB,1200+,25+,
313.0,HSE University,Russia,,Engineering & Technology,28,32,BBB,1200+,25+,
,HSE University,Russian Federation,394.0,Engineering & Technology,28,32,BBB,1200+,25+,
,Hacettepe University,Türkiye,368.0,Engineering & Technology,28,32,BBB,1200+,25+,
401.0,Hacettepe University ,Turkey,,Engineering & Technology,28,32,BBB,1200+,25+,
359.0,Hamad Bin Khalifa University,Qatar,401.0,Engineering & Technology,28,32,BBB,1200+,25+,
,Hanyang University,Republic of Korea,124.0,Engineering & Technology,32,36,AAA,1300+,27+,
86.0,Hanyang University,South Korea,,Engineering & Technology,28,32,BBB,1200+,25+,
79.0,Harbin Institute of Technology,China (Mainland),47.0,Engineering & Technology,36,40,A*A*A,1450+,32+,TMUA
8.0,Harvard University,United States,,Engineering & Technology,28,32,BBB,1200+,25+,
,Harvard University,United States of America,9.0,Engineering & Technology,38,42,A*A*A,1500+,34+,TMUA / STEP
258.0,Heriot-Watt University,United Kingdom,254.0,Engineering & Technology,28,32,BBB,1200+,25+,
451.0,Hiroshima University,Japan,501.0,Engineering & Technology,28,32,BBB,1200+,25+,
166.0,Hokkaido University,Japan,165.0,Engineering & Technology,32,36,AAA,1300+,27+,
132.0,Huazhong University of Science and Technology,China (Mainland),112.0,Engineering & Technology,32,36,AAA,1300+,27+,
222.0,Humboldt-Universität zu Berlin,Germany,225.0,Engineering & Technology,32,36,AAA,1300+,27+,
,Hunan University,China (Mainland),451.0,Engineering & Technology,28,32,BBB,1200+,25+,
501.0,Hunan University ,China (Mainland),,Engineering & Technology,28,32,BBB,1200+,25+,
200.0,IMT Atlantique,France,201.0,Engineering & Technology,32,36,AAA,1300+,27+,
191.0,ITMO University,Russia,,Engineering & Technology,28,32,BBB,1200+,25+,
,ITMO University,Russian Federation,246.0,Engineering & Technology,32,36,AAA,1300+,27+,
375.0,Illinois Institute of Technology,United States,,Engineering & Technology,28,32,BBB,1200+,25+,
,Illinois Institute of Technology,United States of America,401.0,Engineering & Technology,28,32,BBB,1200+,25+,
451.0,Imam Abdulrahman Bin Faisal University (IAU) (formerly UNIVERSITY OF DAMMAM),Saudi Arabia,239.0,Engineering & Technology,32,36,AAA,1300+,27+,
,Imam Mohammad Ibn Saud Islamic University – IMSIU,Saudi Arabia,380.0,Engineering & Technology,28,32,BBB,1200+,25+,
7.0,Imperial College London,United Kingdom,8.0,Engineering & Technology,38,42,A*A*A,1500+,34+,TMUA / STEP
119.0,Indian Institute of Science,India,84.0,Engineering & Technology,34,38,A*AA,1400+,30+,
,Indian Institute of Technology BHU Varanasi (IIT BHU Varanasi),India,501.0,Engineering & Technology,28,32,BBB,1200+,25+,
45.0,Indian Institute of Technology Bombay (IITB),India,28.0,Engineering & Technology,36,40,A*A*A,1450+,32+,TMUA
45.0,Indian Institute of Technology Delhi (IITD),India,26.0,Engineering & Technology,36,40,A*A*A,1450+,32+,TMUA
210.0,Indian Institute of Technology Guwahati (IITG),India,140.0,Engineering & Technology,32,36,AAA,1300+,27+,
,Indian Institute of Technology Hyderabad (IITH),India,501.0,Engineering & Technology,28,32,BBB,1200+,25+,
93.0,Indian Institute of Technology Kanpur (IITK),India,72.0,Engineering & Technology,34,38,A*AA,1400+,30+,
85.0,Indian Institute of Technology Kharagpur (IIT-KGP),India,60.0,Engineering & Technology,34,38,A*AA,1400+,30+,
77.0,Indian Institute of Technology Madras (IITM),India,53.0,Engineering & Technology,34,38,A*AA,1400+,30+,
179.0,Indian Institute of Technology Roorkee (IITR),India,131.0,Engineering & Technology,32,36,AAA,1300+,27+,
451.0,Indiana University Bloomington,United States,,Engineering & Technology,28,32,BBB,1200+,25+,
,Indiana University Bloomington,United States of America,501.0,Engineering & Technology,28,32,BBB,1200+,25+,
,Inha University,Republic of Korea,501.0,Engineering & Technology,28,32,BBB,1200+,25+,
401.0,Inha University,South Korea,,Engineering & Technology,28,32,BBB,1200+,25+,
200.0,Institut National des Sciences Appliquées de Lyon (INSA),France,220.0,Engineering & Technology,32,36,AAA,1300+,27+,
451.0,Institut National des Sciences Appliquées de Toulouse (INSA),France,501.0,Engineering & Technology,28,32,BBB,1200+,25+,
34.0,Institut Polytechnique de Paris,France,40.0,Engineering & Technology,36,40,A*A*A,1450+,32+,TMUA
378.0,Institut Teknologi Sepuluh Nopember (ITS Surabaya),Indonesia,394.0,Engineering & Technology,28,32,BBB,1200+,25+,
,Institution,Country / Territory,2025.0,Engineering & Technology,28,32,BBB,1200+,25+,
2024.0,Institution,Location,,Engineering & Technology,28,32,BBB,1200+,25+,
236.0,Instituto Politécnico Nacional (IPN),Mexico,246.0,Engineering & Technology,32,36,AAA,1300+,27+,
302.0,Iowa State University,United States,,Engineering & Technology,28,32,BBB,1200+,25+,
,Iowa State University,United States of America,320.0,Engineering & Technology,28,32,BBB,1200+,25+,
,Iran University of Science and Technology,Iran (Islamic Republic of),501.0,Engineering & Technology,28,32,BBB,1200+,25+,
95.0,Istanbul Technical University,Turkey,,Engineering & Technology,28,32,BBB,1200+,25+,
,Istanbul Technical University,Türkiye,79.0,Engineering & Technology,34,38,A*AA,1400+,30+,
451.0,Istanbul University,Turkey,,Engineering & Technology,28,32,BBB,1200+,25+,
,Istanbul University,Türkiye,451.0,Engineering & Technology,28,32,BBB,1200+,25+,
,Jadavpur University,India,451.0,Engineering & Technology,28,32,BBB,1200+,25+,
,Jawaharlal Nehru University,India,501.0,Engineering & Technology,28,32,BBB,1200+,25+,
,Jeonbuk National University,Republic of Korea,451.0,Engineering & Technology,28,32,BBB,1200+,25+,
401.0,Jeonbuk National University,South Korea,,Engineering & Technology,28,32,BBB,1200+,25+,
378.0,Jilin University,China (Mainland),401.0,Engineering & Technology,28,32,BBB,1200+,25+,
114.0,Johns Hopkins University,United States,,Engineering & Technology,28,32,BBB,1200+,25+,
,Johns Hopkins University,United States of America,107.0,Engineering & Technology,32,36,AAA,1300+,27+,
285.0,Jordan University of Science & Technology,Jordan,239.0,Engineering & Technology,32,36,AAA,1300+,27+,
501.0,Jouf University,Saudi Arabia,,Engineering & Technology,28,32,BBB,1200+,25+,
,KAIST - Korea Advanced Institute of Science & Technology,Republic of Korea,24.0,Engineering & Technology,36,40,A*A*A,1450+,32+,TMUA
20.0,KAIST - Korea Advanced Institute of Science & Technology,South Korea,,Engineering & Technology,28,32,BBB,1200+,25+,
48.0,"KIT, Karlsruhe Institute of Technology",Germany,53.0,Engineering & Technology,34,38,A*AA,1400+,30+,
,KTH Royal Institute of Technology,Sweden,37.0,Engineering & Technology,36,40,A*A*A,1450+,32+,TMUA
37.0,KTH Royal Institute of Technology ,Sweden,,Engineering & Technology,28,32,BBB,1200+,25+,
58.0,KU Leuven,Belgium,50.0,Engineering & Technology,36,40,A*A*A,1450+,32+,TMUA
501.0,Kasetsart University,Thailand,501.0,Engineering & Technology,28,32,BBB,1200+,25+,
501.0,Kaunas University of Technology,Lithuania,,Engineering & Technology,28,32,BBB,1200+,25+,
401.0,Kazan (Volga region) Federal University,Russia,,Engineering & Technology,28,32,BBB,1200+,25+,
,Kazan (Volga region) Federal University,Russian Federation,386.0,Engineering & Technology,28,32,BBB,1200+,25+,
258.0,Keio University,Japan,282.0,Engineering & Technology,28,32,BBB,1200+,25+,
129.0,Khalifa University of Science and Technology,United Arab Emirates,107.0,Engineering & Technology,32,36,AAA,1300+,27+,
42.0,King Abdulaziz University (KAU),Saudi Arabia,71.0,Engineering & Technology,34,38,A*AA,1400+,30+,
90.0,King Abdullah University of Science & Technology (KAUST),Saudi Arabia,90.0,Engineering & Technology,34,38,A*AA,1400+,30+,
80.0,King Fahd University of Petroleum & Minerals,Saudi Arabia,40.0,Engineering & Technology,36,40,A*A*A,1450+,32+,TMUA
,King Faisal University,Saudi Arabia,451.0,Engineering & Technology,28,32,BBB,1200+,25+,
386.0,King Khalid University,Saudi Arabia,212.0,Engineering & Technology,32,36,AAA,1300+,27+,
,King Mongkut's University of Technology Thonburi,Thailand,501.0,Engineering & Technology,28,32,BBB,1200+,25+,
501.0,King Mongkut's University of Technology Thonburi ,Thailand,,Engineering & Technology,28,32,BBB,1200+,25+,
114.0,King Saud University,Saudi Arabia,112.0,Engineering & Technology,32,36,AAA,1300+,27+,
122.0,King's College London,United Kingdom,116.0,Engineering & Technology,32,36,AAA,1300+,27+,
451.0,Kobe University,Japan,501.0,Engineering & Technology,28,32,BBB,1200+,25+,
,Korea University,Republic of Korea,89.0,Engineering & Technology,34,38,A*AA,1400+,30+,
70.0,Korea University,South Korea,,Engineering & Technology,28,32,BBB,1200+,25+,
298.0,Koç University,Turkey,,Engineering & Technology,28,32,BBB,1200+,25+,
,Koç University,Türkiye,267.0,Engineering & Technology,28,32,BBB,1200+,25+,
62.0,Kyoto University,Japan,65.0,Engineering & Technology,34,38,A*AA,1400+,30+,
,Kyung Hee University,Republic of Korea,401.0,Engineering & Technology,28,32,BBB,1200+,25+,
316.0,Kyung Hee University,South Korea,,Engineering & Technology,28,32,BBB,1200+,25+,
,Kyungpook National University,Republic of Korea,501.0,Engineering & Technology,28,32,BBB,1200+,25+,
155.0,Kyushu University,Japan,157.0,Engineering & Technology,32,36,AAA,1300+,27+,
327.0,L.N. Gumilyov Eurasian National University (ENU),Kazakhstan,292.0,Engineering & Technology,28,32,BBB,1200+,25+,
401.0,Lahore University of Management Sciences (LUMS),Pakistan,451.0,Engineering & Technology,28,32,BBB,1200+,25+,
285.0,Lancaster University,United Kingdom,319.0,Engineering & Technology,28,32,BBB,1200+,25+,
501.0,Lappeenranta-Lahti University of Technology LUT,Finland,,Engineering & Technology,28,32,BBB,1200+,25+,
,Lebanese American University,Lebanon,401.0,Engineering & Technology,28,32,BBB,1200+,25+,
267.0,Lebanese University,Lebanon,262.0,Engineering & Technology,28,32,BBB,1200+,25+,
275.0,Leibniz University Hannover,Germany,292.0,Engineering & Technology,28,32,BBB,1200+,25+,
378.0,Leiden University,Netherlands,376.0,Engineering & Technology,28,32,BBB,1200+,25+,
240.0,Linköping University,Sweden,269.0,Engineering & Technology,28,32,BBB,1200+,25+,
58.0,Lomonosov Moscow State University,Russia,,Engineering & Technology,28,32,BBB,1200+,25+,
,Lomonosov Moscow State University,Russian Federation,79.0,Engineering & Technology,34,38,A*AA,1400+,30+,
173.0,Loughborough University,United Kingdom,189.0,Engineering & Technology,32,36,AAA,1300+,27+,
451.0,Lovely Professional University (LPU),India,308.0,Engineering & Technology,28,32,BBB,1200+,25+,
216.0,Ludwig-Maximilians-Universität München,Germany,237.0,Engineering & Technology,32,36,AAA,1300+,27+,
,Lulea University,Sweden,451.0,Engineering & Technology,28,32,BBB,1200+,25+,
135.0,Lund University,Sweden,143.0,Engineering & Technology,32,36,AAA,1300+,27+,
378.0,Macquarie University,Australia,368.0,Engineering & Technology,28,32,BBB,1200+,25+,
501.0,Mahidol University,Thailand,451.0,Engineering & Technology,28,32,BBB,1200+,25+,
451.0,Mansoura University,Egypt,451.0,Engineering & Technology,28,32,BBB,1200+,25+,
,Massachusetts Institute of Technology (MIT),United States of America,1.0,Engineering & Technology,38,42,A*A*A,1500+,34+,TMUA / STEP
1.0,Massachusetts Institute of Technology (MIT) ,United States,,Engineering & Technology,28,32,BBB,1200+,25+,
39.0,McGill University,Canada,45.0,Engineering & Technology,36,40,A*A*A,1450+,32+,TMUA
226.0,McMaster University,Canada,227.0,Engineering & Technology,32,36,AAA,1300+,27+,
114.0,Michigan State University,United States,,Engineering & Technology,28,32,BBB,1200+,25+,
,Michigan State University,United States of America,137.0,Engineering & Technology,32,36,AAA,1300+,27+,
117.0,Middle East Technical University,Turkey,,Engineering & Technology,28,32,BBB,1200+,25+,
,Middle East Technical University,Türkiye,104.0,Engineering & Technology,32,36,AAA,1300+,27+,
73.0,Monash University,Australia,78.0,Engineering & Technology,34,38,A*AA,1400+,30+,
182.0,Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),Russia,,Engineering & Technology,28,32,BBB,1200+,25+,
,Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),Russian Federation,223.0,Engineering & Technology,32,36,AAA,1300+,27+,
,Multimedia University (MMU),Malaysia,501.0,Engineering & Technology,28,32,BBB,1200+,25+,
160.0,Nagoya University,Japan,162.0,Engineering & Technology,32,36,AAA,1300+,27+,
165.0,Nanjing University,China (Mainland),122.0,Engineering & Technology,32,36,AAA,1300+,27+,
501.0,Nanjing University of Aeronautics and Astronautics,China (Mainland),401.0,Engineering & Technology,28,32,BBB,1200+,25+,
501.0,Nankai University,China (Mainland),401.0,Engineering & Technology,28,32,BBB,1200+,25+,
15.0,"Nanyang Technological University, Singapore (NTU)",Singapore,11.0,Engineering & Technology,36,40,A*A*A,1450+,32+,TMUA
401.0,National Central University,Taiwan,451.0,Engineering & Technology,28,32,BBB,1200+,25+,
166.0,National Cheng Kung University (NCKU),Taiwan,189.0,Engineering & Technology,32,36,AAA,1300+,27+,
501.0,National Chin-Yi University of Technology,Taiwan,451.0,Engineering & Technology,28,32,BBB,1200+,25+,
398.0,National Chung Hsing University,Taiwan,451.0,Engineering & Technology,28,32,BBB,1200+,25+,
311.0,National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),Russia,,Engineering & Technology,28,32,BBB,1200+,25+,
,National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),Russian Federation,359.0,Engineering & Technology,28,32,BBB,1200+,25+,
